,0
0,0.252919606343725
1,0.9534537777121193
2,-0.34938662579737456
3,-0.9181040971974368
4,0.44227709188513986
5,0.873356093860385
6,-0.5306401161510442
7,-0.8196678379593361
8,0.6135711560381482
9,0.7575889181109504
10,-0.6902212743864566
11,-0.6877548153363715
12,0.7598058297170759
13,0.6108803978557515
14,-0.8216125083430813
15,-0.527752603222773
16,0.8750086160851566
17,0.43922238270957314
18,-0.9194475549490765
19,-0.3461959904048346
20,0.9544744184655195
21,0.24962570619549615
22,-0.9797306484145729
23,-0.15050008759788663
24,0.9949577052656333
25,0.04983385022691136
26,-0.9999997147596076
27,0.05134251950632803
28,0.9948050635412742
