,0
0,-0.9181040971974368
1,0.7598058297170759
2,-0.5306401161510442
3,-0.3461959904048346
4,0.8750086160851566
5,0.6108803978557515
6,0.44227709188513986
7,-0.9797306484145729
8,0.9534537777121193
9,-0.5306401161510442
10,-0.6877548153363715
11,-0.8216125083430813
12,0.873356093860385
13,0.24962570619549615
14,0.9534537777121193
15,0.252919606343725
16,0.9949577052656333
17,-0.6877548153363715
18,-0.8216125083430813
19,0.6135711560381482
20,0.9544744184655195
21,0.24962570619549615
22,0.252919606343725
23,-0.527752603222773
24,-0.9181040971974368
25,0.8750086160851566
26,-0.9999997147596076
27,-0.8196678379593361
28,-0.6902212743864566
29,-0.3461959904048346
30,-0.527752603222773
31,0.43922238270957314
32,0.7598058297170759
33,-0.9999997147596076
34,-0.15050008759788663
35,-0.8196678379593361
36,-0.6902212743864566
37,-0.9194475549490765
38,-0.15050008759788663
39,0.43922238270957314
40,0.9544744184655195
41,-0.34938662579737456
42,0.04983385022691136
43,0.873356093860385
44,0.7575889181109504
45,-0.9194475549490765
46,0.9949577052656333
47,0.05134251950632803
48,0.6135711560381482
49,-0.34938662579737456
50,0.04983385022691136
51,0.7575889181109504
52,0.44227709188513986
53,-0.9797306484145729
54,0.6108803978557515
